Period,Sustainable Fund,Conventional Fund,R_f
Period 1,0.09753195196390150,0.08617834001779560,0.02533994242548940
Period 2,0.08987087011337280,0.08490339666605000,0.02451997995376590
Period 3,0.17931604385376000,0.18331357836723300,0.02391995862126350
Period 4,0.22244620323181200,0.23787295818328900,0.02403998933732510
Period 5,0.13962957262992900,0.15289944410324100,0.02372996136546130
Period 6,0.12575529515743300,0.14092518389225000,0.02459995634853840
Period 7,0.11465887725353200,0.14314235746860500,0.02579994499683380
Period 8,0.10269150882959400,0.13143225014209700,0.02589994668960570
Period 9,0.09550049155950550,0.10927448421716700,0.02529997378587720
Period 10,0.07100052386522290,0.08660005778074260,0.02419995144009590
Period 11,0.04109429195523260,0.05443712696433070,0.02293986827135090
Period 12,0.01802032999694350,0.03124362789094450,0.02193995565176010
Period 13,0.10240268707275400,0.12212572246789900,0.02279998548328880
Period 14,0.11781062930822400,0.13051709532737700,0.02343999035656450
Period 15,0.15406976640224500,0.14909547567367600,0.02364997006952760
Period 16,0.15292876958847000,0.15039505064487500,0.02339998260140420
Period 17,0.17358693480491600,0.17060643434524500,0.02315995283424850
Period 18,0.14119721949100500,0.14003847539424900,0.02225994691252710
Period 19,0.16145569086074800,0.16277214884758000,0.02265995368361470
Period 20,0.06457687169313430,0.06299908459186550,0.02131989598274230
Period 21,0.12252832949161500,0.11960995942354200,0.02191991358995440
Period 22,0.10950270295143100,0.10958362370729400,0.02228327468037610
Period 23,0.03182225301861760,0.03695451095700260,0.02046972513198850
Period 24,0.05052791535854340,0.05393774062395100,0.01939983293414120
Period 25,0.02660712413489820,0.03087416663765910,0.01822995021939280
Period 26,0.04933667182922360,0.05142932012677190,0.01819985732436180
Period 27,0.03326543420553210,0.03708454221487050,0.01745985075831410
Period 28,0.04876082763075830,0.05613946914672850,0.01949980109930040
Period 29,0.09582317620515820,0.09937539696693420,0.02059987001121040
Period 30,0.15986166894435900,0.16431380808353400,0.02049979008734230
Period 31,0.12786816060543100,0.13797204196453100,0.02069988846778870
Period 32,0.04890579730272290,0.05927032977342610,0.02159987017512320
Period 33,0.04656211286783220,0.05697838217020030,0.02063976041972640
Period 34,0.04995941743254660,0.05905853584408760,0.01927995122969150
Period 35,0.04607268795371060,0.04482049867510800,0.01945990137755870
Period 36,0.05710541084408760,0.03611177206039430,0.01899996213614940
Period 37,0.08833137154579160,0.08144026994705200,0.01935996487736700
Period 38,0.10395424067974100,0.10766433924436600,0.01915992051362990
Period 39,0.14757639169693000,0.14661549031734500,0.01977989077568050
Period 40,0.21041248738765700,0.21247620880603800,0.02153978310525420
Period 41,0.14692145586013800,0.15255652368068700,0.02233986556530000
Period 42,0.11399656534194900,0.11970684677362400,0.02225990034639840
Period 43,0.06149027869105340,0.06992708146572110,0.02170996367931370
Period 44,0.04072211310267450,0.05792445689439770,0.02217954955995080
Period 45,0.01193198096007110,0.02955575101077560,0.02405982278287410
