Period,Sustainable Fund,Conventional Fund,R_f
Period 1,0.009753195,0.008617834,.0016
Period 2,0.008987087,0.00849034,.00154
Period 3,0.017931604,0.018331358,.0014599999
Period 4,0.02224462,0.023787296,.0014200001
Period 5,0.013962957,0.015289944,.00126
Period 6,0.01257553,0.014092518,.0013400001
Period 7,0.011465888,0.014314236,.00164
Period 8,0.010269151,0.013143225,.00162
Period 9,0.009550049,0.010927448,.001375
Period 10,0.007100052,0.008660006,.00092000002
Period 11,0.004109429,0.005443713,.00039999999
Period 12,0.001802033,0.003124363,.00059999997
Period 13,0.010240269,0.012212572,.00104
Period 14,0.011781063,0.01305171,.0016750001
Period 15,0.015406977,0.014909548,.0016
Period 16,0.015292877,0.015039505,.0015199999
Period 17,0.017358693,0.017060643,.0015199999
Period 18,0.014119722,0.014003848,.0014599999
Period 19,0.016145569,0.016277215,.0014599999
Period 20,0.006457687,0.006299908,.00154
Period 21,0.012252833,0.011960996,.00162
Period 22,0.01095027,0.010958362,.0016
Period 23,0.003182225,0.003695451,.0011999999
Period 24,0.005052792,0.005393774,.00106
Period 25,0.002660712,0.003087417,.0011999999
Period 26,0.004933667,0.005142932,.001
Period 27,0.003326543,0.003708454,.0014599999
Period 28,0.004876083,0.005613947,.001425
Period 29,0.009582318,0.00993754,.0013799999
Period 30,0.015986167,0.016431381,.0013600001
Period 31,0.012786816,0.013797204,.0013400001
Period 32,0.00489058,0.005927033,.0011999999
Period 33,0.004656211,0.005697838,.00124
Period 34,0.004995942,0.005905854,.001375
Period 35,0.004607269,0.00448205,.00166
Period 36,0.005710541,0.003611177,.00106
Period 37,0.008833137,0.008144027,.00086000003
Period 38,0.010395424,0.010766434,.00057999999
Period 39,0.014757639,0.014661549,.00056000001
Period 40,0.021041249,0.021247621,.00122
Period 41,0.014692146,0.015255652,.0014599999
Period 42,0.011399657,0.011970685,.0015250001
Period 43,0.006149028,0.006992708,.0014200001
Period 44,0.004072211,0.005792446,.0014599999
Period 45,0.001193198,0.002955575,.0010800001
